Landlord,Corporation,Number of Units,Number of HPD Violations,Number of DOB Violations,Tax Lien in Past Two Years,Number of Evictions,building
DEBBIE VASQUEZ,ACROPOLIS GARDENS,36,127,4,No,0,"21-78 35 STREET, QUEENS 11105"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,36,104,2,No,0,"21-77 33 STREET, QUEENS 11105"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,39,104,4,No,0,"21-58 35 STREET, QUEENS 11105"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,39,95,5,No,0,"21-67 33 STREET, QUEENS 11105"
BRUCE HALEY,601 WEST 151ST ST LLC,57,396,10,No,0,"3661 BROADWAY, MANHATTAN 10031"
BRUCE HALEY,601 WEST 177TH ST LLC,33,128,3,No,0,"1341 ST NICHOLAS AVENUE, MANHATTAN 10033"
BRUCE HALEY,472-476 COLUMBUS AVE LLC,10,102,0,No,0,"476 COLUMBUS AVENUE, MANHATTAN 10024"
BRUCE HALEY,472-476 COLUMBUS AVE LLC,12,93,1,No,0,"472 COLUMBUS AVENUE, MANHATTAN 10024"
BRUCE HALEY,324 WEST 43RD ST LLC,20,93,0,No,0,"324 WEST 43 STREET, MANHATTAN 10036"
BRUCE HALEY,353 WEST 51ST ST LLC,17,82,0,No,0,"353 WEST 51 STREET, MANHATTAN 10019"
BRUCE HALEY,748 NINTH AVE LLC,13,52,0,No,0,"748 9 AVENUE, MANHATTAN 10019"
BRUCE HALEY,200 WEST 96ST LLC,8,49,3,No,0,"734 AMSTERDAM AVENUE, MANHATTAN 10025"
THOMAS STEINER,3091 REALTY LLC,105,450,1,No,2,"2001 NEWBOLD AVENUE, BRONX 10462"
THOMAS STEINER,1245 STRATFORD LLC,70,228,2,No,0,"1245 STRATFORD AVENUE, BRONX 10472"
THOMAS STEINER,1381 CASTLE REALTY LLC,75,172,2,No,1,"1381 CASTLE HILL AVENUE, BRONX 10462"
AVI DAVIES,1083 ST NICHOLAS AVE OWNER LLC,51,206,12,No,0,"545 WEST 164 STREET, MANHATTAN 10032"
AVI DAVIES,1091 ST NICHOLAS AVE OWNER LLC,54,200,2,No,0,"1091 ST NICHOLAS AVENUE, MANHATTAN 10032"
AVI DAVIES,1631 ST NICHOLAS AVE OWNER LLC,39,165,7,No,1,"600 WEST 192 STREET, MANHATTAN 10040"
AVI DAVIES,1320 ST NICHOLAS AVE OWNER LLC,55,149,9,No,0,"1320 ST NICHOLAS AVENUE, MANHATTAN 10033"
AVI DAVIES,1228 ST NICHOLAS AVE OWNER LLC,45,99,4,No,0,"1228 ST NICHOLAS AVENUE, MANHATTAN 10032"
MICHAEL LAZAROFF,None,56,423,20,No,1,"100 BELMONT PLACE, STATEN ISLAND 10301"
MICHAEL LAZAROFF,None,56,355,4,No,3,"101 DANIEL LOW TERRACE, STATEN ISLAND 10301"
ABDUL KHAN,MK REALTY GROUP LLC,47,191,28,No,1,"1515 SELWYN AVENUE, BRONX 10457"
ABDUL KHAN,1201 MK REALTY GROUP LIC,38,140,0,No,0,"1201 DR M L KING JR BOULEVARD, BRONX 10452"
ABDUL KHAN,3336 MK REALTY GROUP LLC,27,110,1,No,1,"3336 PERRY AVENUE, BRONX 10467"
ABDUL KHAN,374 SUPERIOR APARTMENTS LLC,27,96,0,No,4,"374 EAST 209 STREET, BRONX 10467"
ABDUL KHAN,1242 SUPERIOR APARTMENTS LLC,12,86,2,No,0,"1242 MORRIS AVENUE, BRONX 10456"
ABDUL KHAN,"685 MK REALTY GROUP, LLC",6,36,2,No,0,"685 EAST 234 STREET, BRONX 10466"
ABDUL KHAN,683 E 234 ST HOLDINGS LLC,6,20,2,No,0,"683 EAST 234 STREET, BRONX 10466"
JASON KORN,ONE NINE DEUCE ASSOCIATES LLC,49,171,0,No,1,"192 NAGLE AVENUE, MANHATTAN 10034"
JASON KORN,1690 PRESIDENT ST. LLC,39,138,0,No,2,"1690 PRESIDENT STREET, BROOKLYN 11213"
JASON KORN,1616 PRESIDENT ST REALTY LLC,25,128,0,No,1,"1616 PRESIDENT STREET, BROOKLYN 11213"
JASON KORN,1311 AVENUE K REALTY LLC,38,126,3,No,0,"1311 AVENUE K, BROOKLYN 11230"
JASON KORN,1429 CARROLL STREET LLC,27,93,0,No,0,"1435 CARROLL STREET, BROOKLYN 11213"
IRVING LANGER,2006 ACP BLVD PORTFOLIO LLC,42,117,17,No,0,"2006 ADAM C POWELL BOULEVARD, MANHATTAN 10027"
IRVING LANGER,655 WEST 160 HOLDINGS LLC,43,99,2,No,0,"655 WEST 160 STREET, MANHATTAN 10032"
IRVING LANGER,120 W 116ST LLC,39,90,3,No,0,"120 WEST 116 STREET, MANHATTAN 10026"
IRVING LANGER,W 116-125 PORTFOLIO LLC,10,76,0,No,0,"224 WEST 116 STREET, MANHATTAN 10026"
IRVING LANGER,161-171 MORNINGSIDE LLC,10,53,0,No,0,"161 MORNINGSIDE AVENUE, MANHATTAN 10027"
IRVING LANGER,ACP BLVD PORTFOLIO LLC,10,47,0,No,2,"2310 ADAM C POWELL BOULEVARD, MANHATTAN 10030"
IRVING LANGER,ACP BLVD PORTFOLIO LLC,8,42,0,No,1,"2302 ADAM C POWELL BOULEVARD, MANHATTAN 10030"
IRVING LANGER,ACP BLVD PROTFOLIO LLC,8,41,2,No,0,"2300 ADAM C POWELL BOULEVARD, MANHATTAN 10030"
IRVING LANGER,ACP BLVD PORTFOLIO LLC,8,33,1,No,0,"2247 ADAM C POWELL BOULEVARD, MANHATTAN 10027"
IRVING LANGER,257 WEST 116 LLC,8,29,0,No,1,"257 WEST 116 STREET, MANHATTAN 10026"
RICHARD NUSSBAUM,NUSSBAUM REALTY COMPANY L.L.C,56,327,24,No,1,"99 MARBLE HILL AVENUE, MANHATTAN 10463"
RICHARD NUSSBAUM,NUSSBAUM ASSOCIATES COMPANY LLC,60,267,12,No,1,"495 WEST 186 STREET, MANHATTAN 10033"
ROBERT KAYDANIAN,INK 50-54 LINDEN LLC,16,107,8,No,0,"50 LINDEN BOULEVARD, BROOKLYN 11226"
ROBERT KAYDANIAN,INK 46 LINDEN LLC,16,66,8,No,1,"46 LINDEN BOULEVARD, BROOKLYN 11226"
ROBERT KAYDANIAN,INK 50-54 LINDEN LLC,16,66,2,No,0,"54 LINDEN BOULEVARD, BROOKLYN 11226"
ROBERT KAYDANIAN,694 HENRY LLC,8,65,7,No,0,"694 HENRY STREET, BROOKLYN 11231"
ROBERT KAYDANIAN,165 GRAHAM AVE LLC,6,41,2,No,0,"165 GRAHAM AVENUE, BROOKLYN 11206"
ROBERT KAYDANIAN,INK 1549 DEKALB LLC,6,38,5,No,0,"1549 DE KALB AVENUE, BROOKLYN 11237"
ROBERT KAYDANIAN,INK 967-969 WILLOUGHBY LLC,8,37,1,No,0,"969 WILLOUGHBY AVENUE, BROOKLYN 11221"
ROBERT KAYDANIAN,INK 206 NASSAU LLC,6,37,2,No,0,"206 NASSAU AVENUE, BROOKLYN 11222"
ROBERT KAYDANIAN,195 JOHNSON LLC,6,33,6,No,0,"195 JOHNSON AVENUE, BROOKLYN 11206"
ROBERT KAYDANIAN,2769 3RD AVE LLC,6,27,15,No,0,"359 EAST 146 STREET, BRONX 10451"
ROBERT KAYDANIAN,158 IRVING AVE LLC.,6,26,15,No,0,"158 IRVING AVENUE, BROOKLYN 11237"
ROBERT KAYDANIAN,INK 298 COVERT LLC,6,25,0,No,0,"298 COVERT STREET, BROOKLYN 11237"
ROBERT KAYDANIAN,INK 285 MAC LLC,7,24,0,No,0,"285 MAC DONOUGH STREET, BROOKLYN 11233"
LABE TWERSKI,CM 1535 UNDERCLIFF LLC,146,368,13,No,4,"1535 UNDERCLIFF AVENUE, BRONX 10453"
LABE TWERSKI,AQUA 3400 TRYON LLC,85,208,2,No,2,"3400 TRYON AVENUE, BRONX 10467"
MATT LEVI,2342 RYER HOLDINGS LLC,31,101,0,No,1,"2342 RYER AVENUE, BRONX 10458"
MATT LEVI,73 SCHAEFFER LLC,6,88,2,No,0,"73 SCHAEFER STREET, BROOKLYN 11207"
MATT LEVI,371 EAST 165TH STREET LLC,21,76,0,No,0,"371 EAST 165 STREET, BRONX 10456"
MATT LEVI,MEM505 LLC,14,62,0,No,0,"505 EAST 22 STREET, BROOKLYN 11226"
MATT LEVI,871 HEGEMAN AVENUE LLC,6,53,1,No,0,"871 HEGEMAN AVENUE, BROOKLYN 11208"
MATT LEVI,None,6,49,1,No,0,"3623 15 AVENUE, BROOKLYN 11218"
MATT LEVI,1062 ROGERS AVE HOLDING LLC,6,47,0,No,1,"1062 ROGERS AVENUE, BROOKLYN 11226"
MATT LEVI,1645 SUMMERFIELD HOLDINGS LLC,6,40,0,No,0,"1645 SUMMERFIELD STREET, QUEENS 11385"
MATT LEVI,TIFERETH YAKOV ZVI LLC,6,30,6,No,1,"516 BAINBRIDGE STREET, BROOKLYN 11233"
MATT LEVI,2240 PACIFIC HOLDINGS LLC,6,21,0,No,1,"2240 PACIFIC STREET, BROOKLYN 11233"
UZY STEIN,245 SULLIVAN LLC,40,519,3,No,0,"245 SULLIVAN PLACE, BROOKLYN 11225"
UZY STEIN,421 REMSEN LLC,9,40,1,No,0,"431 REMSEN AVENUE, BROOKLYN 11212"
ESTHER ROGERS,3929 CARPENTER AVE,37,208,14,No,0,"3929 CARPENTER AVENUE, BRONX 10466"
ESTHER ROGERS,"1090 UNIVERSITY AVE, LLC",25,164,3,No,0,"1090 DR M L KING JR BOULEVARD, BRONX 10452"
ESTHER ROGERS,4026 CARPENTER AVE,31,160,9,No,0,"4026 CARPENTER AVENUE, BRONX 10466"
RUBIN DUKLER,RIKUD REALTY,31,156,0,No,4,"1074 EASTERN PARKWAY, BROOKLYN 11213"
RUBIN DUKLER,RIKUD REALTY INC.,34,141,32,No,3,"1018 EASTERN PARKWAY, BROOKLYN 11213"
RUBIN DUKLER,RIKUD REALTY INC,23,123,12,No,0,"1392 STERLING PLACE, BROOKLYN 11213"
RUBIN DUKLER,ZOHOV REALTY,36,111,1,No,1,"1460 STERLING PLACE, BROOKLYN 11213"
MIKE SILBER,SHERIDAN REALTY HOLDINGS LLC,54,226,2,No,4,"1221 SHERIDAN AVENUE, BRONX 10456"
MIKE SILBER,SHERIDAN REALTY HOLDINGS LLC,54,185,11,No,3,"1225 SHERIDAN AVENUE, BRONX 10456"
MIKE SILBER,SHERIDAN 1231 HOLDINGS LLC,54,113,33,No,4,"1231 SHERIDAN AVENUE, BRONX 10456"
ALEXANDER HOFFMAN,MARMION REALTY 1967-1971 LLC,73,218,0,No,9,"1967 MARMION AVENUE, BRONX 10460"
ALEXANDER HOFFMAN,FAIRMOUNT REALTY 709-715 LLC,61,174,3,No,11,"709 FAIRMOUNT PLACE, BRONX 10457"
ALEXANDER HOFFMAN,FAIRMOUNT REALTY 805 LLC,35,129,0,No,2,"805 FAIRMOUNT PLACE, BRONX 10460"
EPHRAIM LANDAU,820 EAST 10TH ST LLC,54,188,6,No,1,"820 EAST 10 STREET, BROOKLYN 11230"
EPHRAIM LANDAU,2626 KINGS HIGHWAY LLC,47,173,7,No,0,"2626 KINGS HIGHWAY, BROOKLYN 11229"
EPHRAIM LANDAU,1773 E 12TH ST LLC,59,134,3,No,0,"1773 EAST 12 STREET, BROOKLYN 11229"
NATHAN SILVERSTEIN,90 PINEHURST LLC,49,232,4,No,1,"90 PINEHURST AVENUE, MANHATTAN 10033"
NATHAN SILVERSTEIN,CABRINI BLOCKFRONT LLC,34,139,0,No,0,"5 CABRINI BOULEVARD, MANHATTAN 10033"
NATHAN SILVERSTEIN,CABRINI BLOCKFRONT LLC,35,110,1,No,0,"9 CABRINI BOULEVARD, MANHATTAN 10033"
CARMELO MILIO,758 KELLY LLC,38,99,44,No,0,"758 KELLY STREET, BRONX 10455"
CARMELO MILIO,554-558 W 181ST STREET LLC,14,97,2,No,1,"554 WEST 181 STREET, MANHATTAN 10033"
CARMELO MILIO,565 W 181ST STREET LLC,19,94,0,No,0,"561 WEST 181 STREET, MANHATTAN 10033"
CARMELO MILIO,554-558 W 181ST STREET LLC,12,69,0,No,1,"556 WEST 181 STREET, MANHATTAN 10033"
CARMELO MILIO,818 10TH LLC,12,62,1,No,0,"818 10 AVENUE, MANHATTAN 10019"
CARMELO MILIO,554-558 W 181ST STREET LLC,12,55,6,No,1,"558 WEST 181 STREET, MANHATTAN 10033"
JOSEPH COOK,"2461 AMSTERDAM I , LLC",24,448,11,No,0,"2461 AMSTERDAM AVENUE, MANHATTAN 10033"
KAMRAN HAKIM,1205-1215 FIRST AVE ASSOCIATES LLC,18,157,0,No,0,"1209 1 AVENUE, MANHATTAN 10065"
KAMRAN HAKIM,"1205-15 FIRST ASSOC, LLC",16,146,0,No,0,"1205 1 AVENUE, MANHATTAN 10065"
KAMRAN HAKIM,1205-1215 FIRST AVENUE ASSOCIATES LLC,17,76,0,No,0,"1211 1 AVENUE, MANHATTAN 10065"
KAMRAN HAKIM,1205-1215 FIRST ASSOC. LLC,18,61,0,No,0,"1207 1 AVENUE, MANHATTAN 10065"
RAWLE ISAACS,TOWNSEND AVENUE ENTER LP,54,160,18,No,0,"1735 TOWNSEND AVENUE, BRONX 10453"
RAWLE ISAACS,MOUNT HOPE ASSOCIATES L.P.,31,157,0,No,2,"2042 MORRIS AVENUE, BRONX 10453"
RAWLE ISAACS,"TOWNSEND AVENUE ENTER, L.P",26,111,0,No,0,"1734 TOWNSEND AVENUE, BRONX 10453"
MARTIN BAUMRIND,"520 WEST 47TH STREET, LLC",10,96,0,No,0,"526 WEST 47 STREET, MANHATTAN 10036"
MARTIN BAUMRIND,"520 WEST 47TH STREET, LLC",10,84,0,No,0,"522 WEST 47 STREET, MANHATTAN 10036"
MARTIN BAUMRIND,"520 WEST 47TH STREET, LLC",10,76,0,No,1,"524 WEST 47 STREET, MANHATTAN 10036"
MARTIN BAUMRIND,AMITY COURT INC,10,60,0,No,0,"186 AMITY STREET, BROOKLYN 11201"
MARTIN BAUMRIND,"520 WEST 47TH STREET, LLC",10,47,0,No,0,"520 WEST 47 STREET, MANHATTAN 10036"
MARTIN BAUMRIND,256 W 93TH STREET LLC,8,33,0,No,0,"256 WEST 93 STREET, MANHATTAN 10025"
MARTIN BAUMRIND,286 WARREN STREET LLC,8,24,0,No,0,"286 WARREN STREET, BROOKLYN 11201"
EUGENE CUNDELAN,DELA REALTY CO INC,19,275,2,No,0,"509 WEST 134 STREET, MANHATTAN 10031"
EUGENE CUNDELAN,523 WEST 138TH ST REALTY CO INC,20,145,2,No,0,"523 WEST 138 STREET, MANHATTAN 10031"
FREDDIE ELLIS,None,25,187,1,No,0,"254 MANHATTAN AVENUE, MANHATTAN 10026"
FREDDIE ELLIS,None,27,163,0,No,0,"91 RIVERDALE AVENUE, BROOKLYN 11212"
FREDDIE ELLIS,None,6,43,1,No,0,"1647 PARK PLACE, BROOKLYN 11233"
FRANK PECORA,AMERCAN DREAM REALTY GROUP LLC,25,298,1,No,0,"502 WEST 135 STREET, MANHATTAN 10031"
FRANK PECORA,NOVITA LLC,16,93,1,No,1,"307 WEST 39 STREET, MANHATTAN 10018"
MEIR BOUSKILA,CONVENT REALTY LLC,39,137,2,No,0,"90 CONVENT AVENUE, MANHATTAN 10027"
MEIR BOUSKILA,"CONVENT REALTY, LLC",34,129,0,No,1,"100 CONVENT AVENUE, MANHATTAN 10027"
MEIR BOUSKILA,LEXINGTON NY REALTY LLC,22,119,11,No,2,"1636 LEXINGTON AVENUE, MANHATTAN 10029"
DAVID WEISS,DAVID;WEISS SEVEN;A;ADMINISTRATOR,18,214,0,No,0,"222 EAST 13 STREET, MANHATTAN 10003"
DAVID WEISS,BRIDGEVIEW ASSOCIATES,40,165,0,No,2,"1300 RICHMOND AVENUE, STATEN ISLAND 10314"
ISSAKA MAIGUZO,LL SOLUTIONS LLC,12,58,0,No,0,"865 EAST 165 STREET, BRONX 10459"
ISSAKA MAIGUZO,HAVILAND 18 LLC,15,54,1,No,3,"2250 HAVILAND AVENUE, BRONX 10462"
ISSAKA MAIGUZO,WEBSTER 26 LLC,9,52,2,No,2,"363 EAST 180 STREET, BRONX 10457"
ISSAKA MAIGUZO,FORDHAM 26 LLC,15,49,1,No,2,"208 WEST FORDHAM ROAD, BRONX 10468"
ISSAKA MAIGUZO,BELMONT PLACE LLC,9,46,1,No,1,"2113 BELMONT AVENUE, BRONX 10457"
ISSAKA MAIGUZO,KUNBA LLC,9,39,1,No,1,"430 EAST 162 STREET, BRONX 10451"
ISSAKA MAIGUZO,CONCOURSE HEIGHTS LLC,8,36,0,No,3,"187 ST GEORGES CRESCENT, BRONX 10458"
ISSAKA MAIGUZO,ASSOCIATES 26 LLC,9,25,1,No,0,"340 EAST 148 STREET, BRONX 10451"
ISSAKA MAIGUZO,3RD AVENUE HEIGHTS LLC,6,17,4,No,2,"501 EAST 176 STREET, BRONX 10457"
ARASH MERABI,KOTEL PROPERTIES,48,180,3,No,1,"611 ACADEMY STREET, MANHATTAN 10034"
ARASH MERABI,IDF MGMT LLC,42,100,5,No,6,"37 FEATHERBED LANE, BRONX 10452"
ARASH MERABI,HOLY LAND MGMT LLC,21,94,0,No,0,"515 WEST 147 STREET, MANHATTAN 10031"
GEORGE WANAT,None,34,196,2,No,0,"314 BEDFORD AVENUE, BROOKLYN 11249"
GEORGE WANAT,None,35,176,2,No,0,"750 DRIGGS AVENUE, BROOKLYN 11211"
JOEL KOHN,COLUMBIA HEIGHTS NEIGHBORS LLC,25,94,0,No,0,"516 WEST 135 STREET, MANHATTAN 10031"
JOEL KOHN,653 KNICKERBOCKER REALTY LLC,8,63,0,No,0,"653 KNICKERBOCKER AVENUE, BROOKLYN 11221"
JOEL KOHN,788 FRANKLIN REALTY LLC,6,62,1,No,0,"571 LINCOLN PLACE, BROOKLYN 11238"
JOEL KOHN,1363 GREENE MAMAGEMENT LLC,6,61,2,No,0,"1363 GREENE AVENUE, BROOKLYN 11237"
JOEL KOHN,1020 MANHATTAN LLC,6,33,0,No,1,"1020 MANHATTAN AVENUE, BROOKLYN 11222"
JOEL KOHN,383 MENAHAN LLC,6,32,0,No,1,"383 MENAHAN STREET, BROOKLYN 11237"
JOEL KOHN,AVI WILLOW LLC,6,24,0,No,0,"1138 WILLOUGHBY AVENUE, BROOKLYN 11237"
RONALD SWARTZ,34-05 REALTY ASSOCIATES LLC,41,140,5,No,0,"34-01 28 AVENUE, QUEENS 11103"
RONALD SWARTZ,KANTER'S REALTY ASSOCIATES LLC,15,137,0,No,0,"517 EAST 83 STREET, MANHATTAN 10028"
RONALD SWARTZ,"GITTEL REALTY ASSOCIATES, L.P",29,92,0,No,0,"47-02 88 STREET, QUEENS 11373"
ALBEN SAGAN,15 WEST REALTY LLC,41,138,15,No,2,"15 WEST 75 STREET, MANHATTAN 10023"
ALBEN SAGAN,POWERS ASSOCIATES INC,10,90,0,No,0,"122 WEST 71 STREET, MANHATTAN 10023"
ALBEN SAGAN,"POWERS ASSOCIATES, INC.",10,84,1,No,0,"47 WEST 74 STREET, MANHATTAN 10023"
ALBEN SAGAN,POWERS ASSOCIATES INC,13,57,0,No,0,"112 WEST 75 STREET, MANHATTAN 10023"
NIKKI BERRYMAN,409 EDGECOMBE AVENUE HOUSING DEVELOPMENT,124,368,15,No,0,"409 EDGECOMBE AVENUE, MANHATTAN 10031"
DEODAT LOWTAN,315 JEFFERSON ST LLC,8,73,0,No,0,"315 JEFFERSON STREET, BROOKLYN 11237"
DEODAT LOWTAN,PEOPLE HOME IMPROVEMENT LLC,6,53,0,No,0,"834 HART STREET, BROOKLYN 11237"
DEODAT LOWTAN,336 STARR ST LLC,6,45,23,No,0,"336 STARR STREET, BROOKLYN 11237"
DEODAT LOWTAN,206 BLEECKER STREET LCC,6,31,0,No,0,"206 BLEECKER STREET, BROOKLYN 11237"
DEODAT LOWTAN,1 STAND HOPE ASSITE LLC,6,30,1,No,1,"165 STANHOPE STREET, BROOKLYN 11237"
DEODAT LOWTAN,WYCKOFF ASSETS LLC,6,26,0,No,0,"62 WYCKOFF AVENUE, BROOKLYN 11237"
DEODAT LOWTAN,840 HART STREET LLC,6,26,0,No,1,"930 HART STREET, BROOKLYN 11237"
DEODAT LOWTAN,293 HERMAN STREET LLC,6,24,0,No,0,"293 HARMAN STREET, BROOKLYN 11237"
DEODAT LOWTAN,756 LIBERTY REALTY LLC,6,20,0,No,0,"756 LIBERTY AVENUE, BROOKLYN 11208"
DEODAT LOWTAN,187 STANHOPE LLC,6,20,1,No,0,"187 STANHOPE STREET, BROOKLYN 11237"
DEODAT LOWTAN,279 MENEHANA REALTY GRX,6,19,1,No,0,"248 HIMROD STREET, BROOKLYN 11237"
YITZCHOK LEBOVITS,AMSTERDAM KEY ASSOCIATES INC,8,366,4,No,0,"1661 AMSTERDAM AVENUE, MANHATTAN 10031"
SCOTT ROSENTHAL,CARSON SURF LLC,30,126,31,No,1,"78 HERKIMER STREET, BROOKLYN 11216"
SCOTT ROSENTHAL,HERKIMER PROPERTIES LLC,16,72,16,No,0,"88 HERKIMER STREET, BROOKLYN 11216"
SCOTT ROSENTHAL,1342 BERGEN LLC,16,44,0,No,2,"1342 BERGEN STREET, BROOKLYN 11213"
SCOTT ROSENTHAL,ARLINGTON EQUITIES,6,33,2,No,0,"55 ARLINGTON AVENUE, BROOKLYN 11207"
SCOTT ROSENTHAL,MODULAR CAPITAL LLC,8,29,0,No,1,"1340 BERGEN STREET, BROOKLYN 11213"
SCOTT ROSENTHAL,WEST92 LLC,6,29,0,No,1,"226 SCHAEFER STREET, BROOKLYN 11207"
SCOTT ROSENTHAL,62-64 S ELLIOT LLC,8,28,0,No,0,"62 SOUTH ELLIOTT PLACE, BROOKLYN 11217"
ELCORNO MARTIN,None,21,91,0,No,0,"560 LINCOLN PLACE, BROOKLYN 11238"
ELCORNO MARTIN,None,8,89,0,Yes,0,"1301 LINCOLN PLACE, BROOKLYN 11213"
ELCORNO MARTIN,None,8,56,0,No,0,"1305 LINCOLN PLACE, BROOKLYN 11213"
ELCORNO MARTIN,None,16,47,0,No,0,"487 ST JOHNS PLACE, BROOKLYN 11238"
ELCORNO MARTIN,None,15,45,0,No,0,"327 EASTERN PARKWAY, BROOKLYN 11238"
ELCORNO MARTIN,None,8,31,3,No,0,"577 ST JOHNS PLACE, BROOKLYN 11238"
ALBERT DWECK,"1725 HARMAN STREET, LLC",6,90,2,No,0,"1725 HARMAN STREET, QUEENS 11385"
ALBERT DWECK,482 ONDERDONK AVENUE LLC,6,87,8,No,0,"482 ONDERDONK AVENUE, QUEENS 11385"
ALBERT DWECK,"1245 HALSEY STREET, LLC",8,57,7,No,0,"1245 HALSEY STREET, BROOKLYN 11237"
ALBERT DWECK,"1673 WOODBINE PORTFOLIO, LLC",6,42,1,No,0,"1726 WOODBINE STREET, QUEENS 11385"
ALBERT DWECK,"1889 CORNELIA STREET, LLC",6,27,0,No,0,"1889 CORNELIA STREET, QUEENS 11385"
ALBERT DWECK,57 TROUTMAN STREET LLC,6,24,0,No,0,"57 TROUTMAN STREET, BROOKLYN 11206"
ALBERT DWECK,"188 SUYDAM STREET, LLC",6,24,0,No,0,"188 SUYDAM STREET, BROOKLYN 11221"
JOSEPH EMILE,"CASCADE PROPERTY MGMT,LLC",35,161,5,No,0,"318 ROCHESTER AVENUE, BROOKLYN 11213"
JOSEPH EMILE,"FRONTLINE PROPERTY MGMT, LLC",16,119,3,No,0,"1187 EASTERN PARKWAY, BROOKLYN 11213"
JOSEPH EMILE,"FRONTLINE PROPERTY MGMT, LLC",16,63,1,No,0,"1181 EASTERN PARKWAY, BROOKLYN 11213"
ROBERT SEIDEN,"BROADWAY 152, LLC",47,231,7,No,0,"3671 BROADWAY, MANHATTAN 10031"
ROBERT SEIDEN,HV II LLC,44,100,3,No,0,"524 WEST 145 STREET, MANHATTAN 10031"
EMMANUEL KU,MERCY HOLDING LLC,8,101,0,No,0,"414 MELROSE STREET, BROOKLYN 11237"
EMMANUEL KU,CHOP CHOP HOLDING LLC,14,83,0,No,0,"2262 FREDERICK DOUGLASS BOULEVARD, MANHATTAN 10027"
EMMANUEL KU,GENESIS HOLDING LLC,16,61,0,No,0,"2035 ADAM C POWELL BOULEVARD, MANHATTAN 10027"
EMMANUEL KU,JASPER HOLDING LLC,6,45,0,No,0,"883 HART STREET, BROOKLYN 11237"
EMMANUEL KU,159 E 106TH ST LLC,8,40,0,No,0,"159 EAST 106 STREET, MANHATTAN 10029"
LAZER KVIAT,MARQUIS HOUSING LLC,46,197,0,No,0,"643 SOUTHERN BOULEVARD, BRONX 10455"
