Community District,Name,Indicator Category,Indicator,Indicator Description,Y2000,Y2006,Y2010,Y2016,Y2017,Y2000.Rank,Y2006.Rank,Y2010.Rank,Y16.17.Rank
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",NA,23.2%,1.7%,NA,NA,NA,33,30,NA
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",NA,30.2,41.6,22.5,NA,NA,53,4,19
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",NA,59.5%,48.3%,47.4%,NA,NA,22,21,23
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",NA,2.4%,4.8%,2.0%,NA,NA,41,44,47
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,14.5%,18.1%,17.7%,13.3%,NA,44,44,42,46
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",NA,"55,769","65,586","70,240",NA,NA,23,17,12
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,225.2,260.6,429.3,593.0,1,18,5,3
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,261.4,218.4,495.8,621.5,1,8,9,2
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,276.2,331.0,930.9,671.3,1,14,3,11
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,248.4,222.3,422.5,441.9,1,12,9,6
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,157.5,135.4,249.4,256.3,1,50,50,34
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, 1 family building ($2017)",The median price per unit for one unit buildings.,"$341,292","$709,427","$707,988","$1,487,500","$2,157,765",26,25,14,9
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, 2-4 family building ($2017)",The median price per unit for two- to four-unit buildings.,"$153,930","$343,079","$273,354","$700,000","$718,438",38,30,28,9
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, 5+ family building ($2017)",The median price per unit for multifamily buildings.,"$54,116","$146,145","$136,677","$433,333","$367,801",41,23,17,10
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Median sales price per unit, condominium ($2017)",The median price per unit for condominiums.,"$382,902","$602,592","$554,363","$800,000","$953,830",10,14,13,11
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",5.5,5.2,12.0,4.2,5.1,35,38,37,38
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,60,71,214,66,95,32,31,26,28
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,29,36,144,30,33,36,39,28,29
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,7,15,25,32,45,39,27,32,30
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",NA,NA,NA,17.7,NA,NA,NA,NA,52
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,NA,NA,NA,"15,409",NA,NA,NA,NA,22
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,5,0,0,0,0,28,38,45,38
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",NA,17.4,10.6,9.9,NA,NA,47,44,41
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",NA,NA,3.0%,2.0%,NA,NA,NA,38,50
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,12,16,14,18,16,43,46,40,43
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,131,165,112,78,131,36,35,32,32
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,63,82,53,45,71,5,4,3,1
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,278,"1,002",945,534,690,40,23,9,15
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,72,739,766,393,472,14,7,4,6
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",NA,23.3,29.3,24.0,25.6,NA,34,33,37
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,NA,NA,9.7%,3.6%,NA,NA,NA,3,28
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",NA,130.3,131.3,126.6,157.5,NA,37,36,33
BK 01,Greenpoint/Williamsburg,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,NA,34.3,35.5,40.3,NA,NA,32,30,25
BK 01,Greenpoint/Williamsburg,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,757,"1,513",3,647,562,6,2,43,13
BK 01,Greenpoint/Williamsburg,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,114,942,"2,515","1,596","2,179",26,4,1,3
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",76.6%,79.3%,85.2%,88.2%,NA,13,12,11,9
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,35.3,33.4,31.5,33.5,NA,48,46,49,49
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Residential units within 1/2 mile of a subway station,"The percentage of residential units that are within a half mile walk of a station entrance for the New York City Subway, Long Island Rail Road, PATH, Amtrak, Metro-North Railroad, or Staten Island Railway.",NA,NA,NA,NA,92.2%,NA,NA,NA,22
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Residential units within 1/4 mile of a park,The percentage of residential units that are within a quarter mile of a park.,NA,NA,NA,NA,89.0%,NA,NA,NA,21
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",NA,18.0,15.5,14.3,13.3,NA,15,14,19
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",NA,12.7,10.8,10.5,9.6,NA,6,6,7
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",NA,5.2,4.7,3.7,3.7,NA,27,25,32
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,NA,NA,NA,48.7%,42.6%,NA,NA,NA,30
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,NA,NA,NA,43.6%,41.1%,NA,NA,NA,28
BK 01,Greenpoint/Williamsburg,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,NA,NA,8.6%,7.4%,NA,NA,NA,18,20
BK 01,Greenpoint/Williamsburg,Renters,"Median rent, 2- and 3-bedrooms ($2017)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",NA,NA,"$1,127","$1,460",NA,NA,NA,40,20
BK 01,Greenpoint/Williamsburg,Renters,"Median rent, all ($2017)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$883,$999,"$1,184","$1,774",NA,44,44,32,8
BK 01,Greenpoint/Williamsburg,Renters,"Median rent, asking",The median rent that landlords advertise for housing units available for rent.,NA,NA,"$2,500","$3,050","$2,975",NA,NA,7,9
BK 01,Greenpoint/Williamsburg,Renters,"Median rent, studios and 1-bedrooms ($2017)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",NA,NA,"$1,140","$1,620",NA,NA,NA,18,8
BK 01,Greenpoint/Williamsburg,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,NA,24.8%,21.9%,22.9%,NA,NA,12,48,37
BK 01,Greenpoint/Williamsburg,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,NA,NA,26.7%,26.0%,NA,NA,NA,42,49
BK 01,Greenpoint/Williamsburg,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,NA,NA,32.5%,34.8%,NA,NA,NA,6,8
BK 01,Greenpoint/Williamsburg,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,NA,NA,NA,NA,11.1%,NA,NA,NA,18
BK 01,Greenpoint/Williamsburg,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",NA,NA,9.1%,3.9%,NA,NA,NA,17,42
BK 01,Greenpoint/Williamsburg,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",NA,NA,38.0%,26.1%,NA,NA,NA,37,42
BK 01,Greenpoint/Williamsburg,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",NA,NA,74.8%,51.9%,NA,NA,NA,39,40
BK 01,Greenpoint/Williamsburg,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,23.7%,NA,27.6%,27.0%,NA,26,NA,32,42
BK 01,Greenpoint/Williamsburg,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,NA,NA,43.6%,46.2%,NA,NA,NA,22,21
BK 01,Greenpoint/Williamsburg,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,NA,NA,4.1%,7.2%,NA,NA,NA,10,8
BK 01,Greenpoint/Williamsburg,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,NA,NA,NA,NA,56,NA,NA,NA,13
BK 01,Greenpoint/Williamsburg,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),NA,NA,NA,NA,"1,389",NA,NA,NA,17
BK 01,Greenpoint/Williamsburg,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),NA,NA,NA,NA,727,NA,NA,NA,1
BK 01,Greenpoint/Williamsburg,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),NA,NA,NA,NA,"15,948",NA,NA,NA,2
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible between 2018 and 2023 (properties),"Total number of properties eligible to expire between 2018 and 2023 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,16,NA,NA,NA,7
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible between 2018 and 2023 (units),"Total number of units in properties eligible to expire between 2018 and 2023 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,398,NA,NA,NA,20
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible between 2024 and 2033 (properties),"Total number of properties eligible to expire between 2024 and 2033 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,12,NA,NA,NA,19
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible between 2024 and 2033 (units),"Total number of units in properties eligible to expire between 2024 and 2033 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,343,NA,NA,NA,34
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible in 2034 and later (properties),"Total number of properties eligible to expire in 2034 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,25,NA,NA,NA,17
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible in 2034 and later (units),"Total number of units in properties eligible to expire in 2034 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",NA,NA,NA,NA,"6,223",NA,NA,NA,7
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,NA,NA,NA,NA,4,NA,NA,NA,24
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),NA,NA,NA,NA,"1,317",NA,NA,NA,6
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,NA,NA,NA,NA,22,NA,NA,NA,17
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),NA,NA,NA,NA,"1,218",NA,NA,NA,20
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,NA,NA,NA,NA,25,NA,NA,NA,18
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),NA,NA,NA,NA,"2,382",NA,NA,NA,17
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,NA,NA,NA,NA,11,NA,NA,NA,6
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),NA,NA,NA,NA,"4,021",NA,NA,NA,9
BK 01,Greenpoint/Williamsburg,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",NA,NA,NA,NA,81,NA,NA,NA,16
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),NA,NA,NA,NA,35,NA,NA,NA,6
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),NA,NA,NA,NA,"6,896",NA,NA,NA,12
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",NA,NA,NA,NA,243,NA,NA,NA,16
BK 02,Fort Greene/Brooklyn Heights,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,NA,48.7%,50.2%,45.4%,NA,NA,30,22,32
BK 02,Fort Greene/Brooklyn Heights,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",NA,NA,6.9%,6.8%,NA,NA,NA,26,33
BK 02,Fort Greene/Brooklyn Heights,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,16.9%,18.0%,19.6%,19.6%,NA,53,52,53,53
BK 02,Fort Greene/Brooklyn Heights,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,24.7%,22.8%,23.3%,22.9%,NA,48,48,49,45
BK 02,Fort Greene/Brooklyn Heights,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",NA,5.4,7.3,6.8,NA,NA,24,5,14
BK 02,Fort Greene/Brooklyn Heights,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",NA,65.1%,69.9%,69.8%,NA,NA,14,6,8
BK 02,Fort Greene/Brooklyn Heights,Demographics,Median household income ($2017),The median household's total income of all members of the household aged 15 years or older.,"$60,325","$66,860","$80,035","$88,690",NA,21,17,9,8
BK 02,Fort Greene/Brooklyn Heights,Demographics,"Median household income, homeowners ($2017)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,NA,"$103,835","$131,044","$128,084",NA,NA,10,6,7
BK 02,Fort Greene/Brooklyn Heights,Demographics,"Median household income, renters ($2017)",The median renter household's total income of all members of the household aged 15 years or older.,NA,"$49,951","$62,890","$77,852",NA,NA,16,7,7
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,4.2%,7.1%,6.6%,9.8%,NA,34,27,33,27
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent black,The percentage of the total population that identifies as black (non-Hispanic).,41.8%,28.5%,30.0%,24.5%,NA,12,19,18,21
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,19.3%,21.4%,16.7%,12.5%,NA,28,26,33,45
BK 02,Fort Greene/Brooklyn Heights,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,31.1%,39.4%,42.7%,48.6%,NA,29,24,19,16
BK 02,Fort Greene/Brooklyn Heights,Demographics,Population,"All people, both children and adults, living in a given geographic area.","115,106","111,796","125,468","143,328",NA,NA,NA,NA,NA
BK 02,Fort Greene/Brooklyn Heights,Demographics,Population aged 25+ with a bachelor's degree or higher,The percentage of the population aged 25 and older who have attained a bachelor's degree or higher.,42.6%,54.5%,54.6%,62.4%,NA,8,7,7,7
BK 02,Fort Greene/Brooklyn Heights,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,NA,13.4%,12.7%,9.3%,NA,NA,45,44,47
BK 02,Fort Greene/Brooklyn Heights,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.8%,10.0%,9.2%,10.6%,NA,37,38,45,44
BK 02,Fort Greene/Brooklyn Heights,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,24.5%,20.4%,18.1%,15.5%,NA,21,22,31,31
BK 02,Fort Greene/Brooklyn Heights,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,NA,15.4%,16.5%,19.0%,NA,NA,33,27,25
